stop_id,stop_name,stop_lon,stop_lat
shp_581-0-1,stop shp_581-0-1,32.66,15.61
shp_582-0-1,stop shp_582-0-1,32.63,15.66
shp_583-0-0,stop shp_583-0-0,32.63,15.58
shp_584-0-1,stop shp_584-0-1,32.69,15.65
shp_587-0-0,stop shp_587-0-0,32.53,15.67
shp_587-0-1,stop shp_587-0-1,33.18,15.24
shp_589-0-1,stop shp_589-0-1,32.84,15.56
shp_590-0-0,stop shp_590-0-0,32.76,15.4
shp_590-0-1,stop shp_590-0-1,32.73,15.45
shp_594-0-1,stop shp_594-0-1,32.68,15.7
shp_595-0-1,stop shp_595-0-1,32.85,15.53
shp_6-0-0,stop shp_6-0-0,32.56,15.54
shp_60-0-0,stop shp_60-0-0,32.53,15.52
shp_601-0-0,stop shp_601-0-0,32.39,15.68
shp_602-0-1,stop shp_602-0-1,32.43,15.69
shp_603-0-1,stop shp_603-0-1,32.34,15.63
shp_604-0-0,stop shp_604-0-0,32.29,15.59
shp_615-0-0,stop shp_615-0-0,32.4,15.56
shp_616-0-0,stop shp_616-0-0,32.33,15.62
shp_63-0-1,stop shp_63-0-1,32.58,15.6
shp_64-0-0,stop shp_64-0-0,32.56,15.59
shp_66-0-0,stop shp_66-0-0,32.58,15.59
shp_68-0-0,stop shp_68-0-0,32.58,15.53
shp_71-0-0,stop shp_71-0-0,32.66,15.5
shp_75-0-1,stop shp_75-0-1,32.65,15.48
shp_76-0-1,stop shp_76-0-1,32.52,15.54
shp_87-0-0,stop shp_87-0-0,32.51,15.76
shp_92-0-0,stop shp_92-0-0,32.5,15.72
