stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
shp_397-0-0,,stop shp_397-0-0,,15.450826,32.465170,,,,,,,
shp_397-0-1,,stop shp_397-0-1,,15.593088,32.521922,,,,,,,
shp_399-0-0,,stop shp_399-0-0,,15.425130,32.500407,,,,,,,
shp_399-0-1,,stop shp_399-0-1,,15.468124,32.484270,,,,,,,
shp_4-0-0,,stop shp_4-0-0,,15.520912,32.543704,,,,,,,
shp_4-0-1,,stop shp_4-0-1,,15.593112,32.521827,,,,,,,
shp_401-0-0,,stop shp_401-0-0,,15.454326,32.463901,,,,,,,
shp_401-0-1,,stop shp_401-0-1,,15.592505,32.520859,,,,,,,
shp_402-0-1,,stop shp_402-0-1,,15.468738,32.484106,,,,,,,
shp_403-0-0,,stop shp_403-0-0,,15.468786,32.484136,,,,,,,
shp_403-0-1,,stop shp_403-0-1,,15.385427,32.505338,,,,,,,
shp_404-0-0,,stop shp_404-0-0,,15.623194,32.530508,,,,,,,
shp_404-0-1,,stop shp_404-0-1,,15.468823,32.484130,,,,,,,
shp_406-0-0,,stop shp_406-0-0,,15.484507,32.542329,,,,,,,
shp_406-0-1,,stop shp_406-0-1,,15.466896,32.484526,,,,,,,
shp_407-0-0,,stop shp_407-0-0,,15.472094,32.471375,,,,,,,
shp_407-0-1,,stop shp_407-0-1,,15.466729,32.484561,,,,,,,
shp_408-0-0,,stop shp_408-0-0,,15.242222,32.500006,,,,,,,
shp_408-0-1,,stop shp_408-0-1,,15.468906,32.484064,,,,,,,
shp_409-0-1,,stop shp_409-0-1,,15.468802,32.484089,,,,,,,
shp_410-0-0,,stop shp_410-0-0,,15.454319,32.463901,,,,,,,
shp_410-0-1,,stop shp_410-0-1,,15.468766,32.484131,,,,,,,
shp_411-0-0,,stop shp_411-0-0,,15.536104,32.583363,,,,,,,
shp_411-0-1,,stop shp_411-0-1,,15.468805,32.484133,,,,,,,
shp_412-0-0,,stop shp_412-0-0,,15.530159,32.549950,,,,,,,
shp_412-0-1,,stop shp_412-0-1,,15.466705,32.484566,,,,,,,
shp_413-0-0,,stop shp_413-0-0,,15.655539,32.469435,,,,,,,
shp_413-0-1,,stop shp_413-0-1,,15.466778,32.484551,,,,,,,
shp_414-0-0,,stop shp_414-0-0,,15.647153,32.418996,,,,,,,
shp_414-0-1,,stop shp_414-0-1,,15.466778,32.484551,,,,,,,
shp_415-0-1,,stop shp_415-0-1,,15.468738,32.484106,,,,,,,
shp_417-0-0,,stop shp_417-0-0,,15.242128,32.500316,,,,,,,
shp_417-0-1,,stop shp_417-0-1,,15.291173,32.659579,,,,,,,
shp_418-0-0,,stop shp_418-0-0,,15.468772,32.484052,,,,,,,
shp_418-0-1,,stop shp_418-0-1,,15.462528,32.467824,,,,,,,
shp_419-0-0,,stop shp_419-0-0,,15.242180,32.500144,,,,,,,
shp_419-0-1,,stop shp_419-0-1,,15.259032,32.575948,,,,,,,
shp_42-0-0,,stop shp_42-0-0,,15.520912,32.543704,,,,,,,
shp_420-0-0,,stop shp_420-0-0,,15.495629,32.582122,,,,,,,
shp_420-0-1,,stop shp_420-0-1,,15.259032,32.575948,,,,,,,
shp_421-0-0,,stop shp_421-0-0,,15.532444,32.558027,,,,,,,
shp_421-0-1,,stop shp_421-0-1,,15.241713,32.502077,,,,,,,
shp_422-0-0,,stop shp_422-0-0,,15.424162,32.682198,,,,,,,
shp_422-0-1,,stop shp_422-0-1,,15.530459,32.550044,,,,,,,
shp_423-0-0,,stop shp_423-0-0,,15.242121,32.500339,,,,,,,
shp_423-0-1,,stop shp_423-0-1,,15.318767,32.531918,,,,,,,
shp_43-0-0,,stop shp_43-0-0,,15.645299,32.488480,,,,,,,
shp_444-0-0,,stop shp_444-0-0,,15.597427,32.516384,,,,,,,
shp_444-0-1,,stop shp_444-0-1,,15.495294,32.704430,,,,,,,
shp_445-0-0,,stop shp_445-0-0,,15.597497,32.516796,,,,,,,
shp_445-0-1,,stop shp_445-0-1,,15.585006,32.600215,,,,,,,
shp_446-0-0,,stop shp_446-0-0,,15.597473,32.516639,,,,,,,
shp_446-0-1,,stop shp_446-0-1,,15.541981,32.630066,,,,,,,
shp_447-0-0,,stop shp_447-0-0,,15.597484,32.516703,,,,,,,
shp_447-0-1,,stop shp_447-0-1,,15.613090,32.645261,,,,,,,
shp_448-0-0,,stop shp_448-0-0,,15.597516,32.516921,,,,,,,
shp_448-0-1,,stop shp_448-0-1,,15.663164,32.624281,,,,,,,
shp_449-0-0,,stop shp_449-0-0,,15.597484,32.516703,,,,,,,
shp_449-0-1,,stop shp_449-0-1,,15.653510,32.630856,,,,,,,
shp_45-0-0,,stop shp_45-0-0,,15.560983,32.506885,,,,,,,
shp_45-0-1,,stop shp_45-0-1,,15.593080,32.521912,,,,,,,
shp_450-0-0,,stop shp_450-0-0,,15.597465,32.516589,,,,,,,
shp_450-0-1,,stop shp_450-0-1,,15.663160,32.624322,,,,,,,
shp_451-0-0,,stop shp_451-0-0,,15.597562,32.517226,,,,,,,
shp_451-0-1,,stop shp_451-0-1,,15.635520,32.639035,,,,,,,
shp_453-0-0,,stop shp_453-0-0,,15.561409,32.645089,,,,,,,
shp_453-0-1,,stop shp_453-0-1,,15.282583,32.963335,,,,,,,
shp_454-0-0,,stop shp_454-0-0,,15.622859,32.534491,,,,,,,
shp_454-0-1,,stop shp_454-0-1,,15.663160,32.624273,,,,,,,
shp_455-0-0,,stop shp_455-0-0,,15.613124,32.645172,,,,,,,
shp_456-0-0,,stop shp_456-0-0,,15.622861,32.534442,,,,,,,
shp_456-0-1,,stop shp_456-0-1,,15.653529,32.630853,,,,,,,
shp_457-0-0,,stop shp_457-0-0,,15.622867,32.534301,,,,,,,
shp_457-0-1,,stop shp_457-0-1,,15.663160,32.624322,,,,,,,
shp_458-0-0,,stop shp_458-0-0,,15.622975,32.532087,,,,,,,
shp_458-0-1,,stop shp_458-0-1,,15.541983,32.630065,,,,,,,
shp_459-0-0,,stop shp_459-0-0,,15.526060,32.542822,,,,,,,
shp_459-0-1,,stop shp_459-0-1,,15.619304,32.591241,,,,,,,
shp_460-0-0,,stop shp_460-0-0,,15.618769,32.590419,,,,,,,
shp_460-0-1,,stop shp_460-0-1,,15.689507,32.719545,,,,,,,
shp_461-0-0,,stop shp_461-0-0,,15.617653,32.593147,,,,,,,
shp_461-0-1,,stop shp_461-0-1,,15.512228,32.724926,,,,,,,
shp_462-0-1,,stop shp_462-0-1,,15.612438,32.635044,,,,,,,
shp_463-0-0,,stop shp_463-0-0,,15.647175,32.420578,,,,,,,
shp_463-0-1,,stop shp_463-0-1,,15.613293,32.635101,,,,,,,
